model_id,display_name,provider,market_status,serving_mode,server_country,server_country_status,server_country_source,server_country_source_url,estimation_country_code,estimation_country_status,estimation_country_source,estimation_country_source_url,active_parameters_billion,total_parameters_billion,parameter_value_status,parameter_confidence,parameter_source,parameter_source_url,notes
gpt-5.2,GPT-5.2,openai,api,closed,"United States or Europe",multi_region,"OpenAI data residency and models documentation",https://platform.openai.com/docs/models,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,300,300,estimated,low,"Alan D. Thompson GPT-5 estimate (~300B)",https://lifearchitect.ai/gpt-5/,"Family-level estimate applied to GPT-5.2 because OpenAI does not publish a separate parameter count for this revision."
gpt-5.2-pro,GPT-5.2-pro,openai,api,closed,"United States or Europe",multi_region,"OpenAI data residency and models documentation",https://platform.openai.com/docs/models,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,300,300,estimated,low,"Alan D. Thompson GPT-5 estimate (~300B)",https://lifearchitect.ai/gpt-5/,"Family-level estimate applied to GPT-5.2-pro because OpenAI does not publish a separate parameter count for this revision."
gpt-5-mini,GPT-5 mini,openai,api,closed,"United States or Europe",multi_region,"OpenAI data residency and models documentation",https://platform.openai.com/docs/models,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,95,95,estimated,low,"Artificial Analysis size class for GPT-5 mini (medium = 40B–150B); midpoint used as screening estimate",https://artificialanalysis.ai/models/gpt-5-mini-medium,"Derived midpoint estimate from the model's documented medium size class because OpenAI does not publish the parameter count."
gpt-5-nano,GPT-5 nano,openai,api,closed,"United States or Europe",multi_region,"OpenAI data residency and models documentation",https://platform.openai.com/docs/models,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,95,95,estimated,low,"Artificial Analysis size class for GPT-5 nano (medium = 40B–150B); midpoint used as screening estimate",https://artificialanalysis.ai/models/gpt-5-nano-medium,"Derived midpoint estimate from the model's documented medium size class because OpenAI does not publish the parameter count."
gpt-oss-120b,GPT-OSS 120B,openai,open_weight,open,"Variable by host",self_hosted_variable,"OpenAI models documentation",https://platform.openai.com/docs/models,US,comparative_reference,"Project reference country for comparable inference estimates",,120,120,observed,high,"OpenAI models documentation",https://platform.openai.com/docs/models,"Open-weight model; emissions depend on deployment location."
gpt-oss-20b,GPT-OSS 20B,openai,open_weight,open,"Variable by host",self_hosted_variable,"OpenAI models documentation",https://platform.openai.com/docs/models,US,comparative_reference,"Project reference country for comparable inference estimates",,20,20,observed,high,"OpenAI models documentation",https://platform.openai.com/docs/models,"Open-weight model; emissions depend on deployment location."
claude-opus-4.1,Claude Opus 4.1,anthropic,api,closed,"Not publicly specified",non_specified,"Anthropic models overview",https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,2000,2000,estimated,low,"Alan D. Thompson Models Table estimate for Claude Opus 4.1 (2T)",https://lifearchitect.ai/models-table/,"Third-party estimate; Anthropic does not publish model size."
claude-opus-4,Claude Opus 4,anthropic,api,closed,"Not publicly specified",non_specified,"Anthropic models overview",https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,6000,6000,estimated,low,"Alan D. Thompson Models Table estimate for Claude Opus 4 (6T)",https://lifearchitect.ai/models-table/,"Third-party estimate; Anthropic does not publish model size."
claude-sonnet-4,Claude Sonnet 4,anthropic,api,closed,"Not publicly specified",non_specified,"Anthropic models overview",https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,400,400,estimated,low,"Alan D. Thompson Models Table estimate for Claude Sonnet 4.5 (400B) used as family proxy",https://lifearchitect.ai/models-table/,"Family proxy used because a separate published estimate for Claude Sonnet 4 was not found."
claude-3.7-sonnet,Claude 3.7 Sonnet,anthropic,api,closed,"Not publicly specified",non_specified,"Anthropic models overview",https://docs.anthropic.com/en/docs/about-claude/models/overview,US,screening_proxy,"Project screening proxy when exact serving country is not publicly specified",,175,175,estimated,low,"Alan D. Thompson Models Table estimate for Claude 3.7 Sonnet (175B)",https://lifearchitect.ai/models-table/,"Third-party estimate; Anthropic does not publish model size."
